timestep,num_transactions,num_fraud,fraud_rate,roc_auc,pr_auc,fraud_precision,fraud_recall,fraud_f1,experiment
ALL,16670,1083,0.06496700659868027,0.9254517623980634,0.7969390161361746,0.8319415448851775,0.7359187442289935,0.7809897109260167,with_timestep_combined
35,1341,182,0.13571961222967935,0.9977054869203272,0.9930799866919499,0.9468085106382979,0.978021978021978,0.9621621621621622,with_timestep_combined
36,1708,33,0.019320843091334895,1.0,0.9999999999999998,0.6470588235294118,1.0,0.7857142857142858,with_timestep_combined
37,498,40,0.08032128514056225,0.9840065502183406,0.8878295883414858,1.0,0.675,0.8059701492537313,with_timestep_combined
38,756,111,0.14682539682539683,0.9810740973531671,0.9545309029632671,0.9345794392523364,0.9009009009009009,0.9174311926605505,with_timestep_combined
39,1183,81,0.06846999154691462,0.9884385292733749,0.9563381238512945,0.9047619047619048,0.9382716049382716,0.9212121212121211,with_timestep_combined
40,1211,112,0.09248554913294797,0.892093461588457,0.7653992195250293,0.9156626506024096,0.6785714285714286,0.7794871794871794,with_timestep_combined
41,1132,116,0.10247349823321555,0.9819695221286994,0.9637127239791677,0.9649122807017544,0.9482758620689655,0.9565217391304347,with_timestep_combined
42,2154,239,0.11095636025998143,0.9609272753094378,0.8885258670471167,0.9018691588785047,0.8075313807531381,0.8520971302428256,with_timestep_combined
43,1370,24,0.017518248175182483,0.6893883110450718,0.039840917220360726,0.0,0.0,0.0,with_timestep_combined
44,1591,24,0.01508485229415462,0.6259838332269729,0.06811439515505992,0.02857142857142857,0.041666666666666664,0.03389830508474576,with_timestep_combined
45,1221,5,0.004095004095004095,0.6907894736842105,0.009174625052340988,0.0,0.0,0.0,with_timestep_combined
46,712,2,0.0028089887640449437,0.9147887323943662,0.508130081300813,0.07692307692307693,0.5,0.13333333333333336,with_timestep_combined
47,846,22,0.026004728132387706,0.7312444836716682,0.047369808513110574,0.0,0.0,0.0,with_timestep_combined
48,471,36,0.07643312101910828,0.8298212005108557,0.19152986578395603,0.2,0.027777777777777776,0.048780487804878044,with_timestep_combined
49,476,56,0.11764705882352941,0.6948979591836735,0.17963058520702524,0.1111111111111111,0.017857142857142856,0.03076923076923077,with_timestep_combined
